计数            温度            样品电压          样品电流          霍尔电势          磁场强度          励磁电流
96            297.6         -0.1076       -0.2141       0.0296        -36.4         1.4160
97            297.6         -0.0937       -0.2060       0.0198        -36.4         1.4160
98            297.6         -0.0734       -0.2060       -0.0038       -4.8          0.4740
99            297.6         -0.0832       -0.1984       -0.0243       36.9          1.2140
100           297.6         -0.0976       -0.1980       -0.0300       59.1          1.2140
101           297.6         -0.1001       -0.1898       -0.0297       63.0          1.4150
102           297.6         -0.0993       -0.1898       -0.0300       65.2          1.4150
103           297.6         -0.0997       -0.1817       -0.0291       65.2          1.4150
104           297.6         -0.0958       -0.1817       -0.0290       66.4          1.4150
105           297.7         -0.0959       -0.1736       -0.0291       66.8          1.4150
106           297.7         -0.0885       -0.1736       -0.0249       67.3          1.4150
107           297.6         -0.0803       -0.1737       -0.0196       67.8          0.0860
108           297.7         -0.0621       -0.1658       -0.0014       -7.2          0.5400
109           297.7         -0.0649       -0.1659       0.0188        -35.6         0.5400
110           297.7         -0.0766       -0.1660       0.0227        -59.1         1.1480
111           297.6         -0.0813       -0.1578       0.0243        -66.1         1.4150
112           297.6         -0.0803       -0.1499       0.0233        -66.1         1.4150
113           297.6         -0.0784       -0.1500       0.0235        -67.8         1.4150
114           297.6         -0.0788       -0.1500       0.0236        -69.0         1.4150
115           297.6         -0.0746       -0.1418       0.0224        -67.5         1.4150
116           297.6         -0.0729       -0.1345       0.0208        -38.8         1.4160
117           297.6         -0.0636       -0.1337       0.0161        -38.8         1.4160
118           297.6         -0.0543       -0.1256       0.0043        -18.8         0.2490
119           297.6         -0.0468       -0.1256       -0.0122       17.2          0.8570
120           297.6         -0.0600       -0.1255       -0.0177       44.9          1.3790
121           297.6         -0.0604       -0.1176       -0.0181       61.7          1.4150
122           297.6         -0.0612       -0.1175       -0.0185       64.4          1.4150
123           297.6         -0.0586       -0.1096       -0.0173       65.5          1.4150
124           297.6         -0.0575       -0.1096       -0.0174       66.7          1.4150
125           297.6         -0.0577       -0.1015       -0.0161       66.7          1.4150
126           297.7         -0.0526       -0.1016       -0.0154       62.5          1.4150
127           297.7         -0.0489       -0.1016       -0.0132       40.9          1.4150
128           297.7         -0.0396       -0.0933       -0.0050       1.5           1.4150
129           297.7         -0.0335       -0.0862       0.0060        -31.4         0.3490
130           297.7         -0.0390       -0.0850       0.0112        -31.4         1.0560
131           297.6         -0.0431       -0.0850       0.0128        -57.5         1.4150
132           297.6         -0.0399       -0.0769       0.0118        -66.7         1.4150
133           297.7         -0.0401       -0.0769       0.0119        -68.3         1.4150
134           297.6         -0.0379       -0.0687       0.0106        -68.3         1.4150
135           297.7         -0.0360       -0.0687       0.0106        -69.5         1.4150
136           297.6         -0.0360       -0.0606       0.0092        -69.3         1.4150
137           297.6         -0.0299       -0.0606       0.0079        -69.1         1.4150
138           297.6         -0.0264       -0.0607       0.0048        -69.0         0.0450
139           297.6         -0.0187       -0.0526       -0.0021       16.2          0.7630
140           297.6         -0.0233       -0.0526       -0.0067       44.1          0.7630
141           297.6         -0.0223       -0.0441       -0.0065       59.9          1.3680
142           297.6         -0.0228       -0.0428       -0.0067       64.1          1.4150
143           297.6         -0.0187       -0.0360       -0.0056       64.1          1.4150
144           297.6         -0.0188       -0.0360       -0.0055       65.5          1.4150
145           297.6         -0.0150       -0.0289       -0.0043       66.7          1.4150
146           297.7         -0.0146       -0.0281       -0.0043       58.3          1.4150
147           297.7         -0.0137       -0.0200       -0.0027       58.3          1.4150
148           297.7         -0.0088       -0.0200       -0.0020       27.0          1.4150
149           297.7         -0.0071       -0.0200       0.0000        -2.9          0.4810
150           297.7         -0.0048       -0.0119       0.0011        -40.4         0.4810
151           297.7         -0.0056       -0.0047       0.0014        -63.2         1.2500
152           297.6         -0.0017       -0.0039       0.0003        -63.2         1.4150
153           297.6         -0.0018       -0.0039       0.0003        -66.6         1.4150
154           297.6         0.0025        0.0043        0.0003        -68.5         1.4150
155           297.6         0.0025        0.0043        -0.0010       -69.6         1.4150
156           297.6         0.0061        0.0124        -0.0022       -63.5         1.4150
157           297.6         0.0064        0.0123        -0.0020       -41.1         1.4150
158           297.6         0.0069        0.0203        -0.0025       -12.7         1.4150
159           297.6         0.0075        0.0203        0.0002        -12.7         0.1560
160           297.6         0.0082        0.0284        0.0033        16.2          0.7630
161           297.6         0.0139        0.0283        0.0046        40.9          1.4140
162           297.6         0.0148        0.0283        0.0048        61.0          1.4150
163           297.6         0.0193        0.0364        0.0061        64.1          1.4150
164           297.6         0.0194        0.0364        0.0061        65.9          1.4150
165           297.6         0.0237        0.0447        0.0075        65.9          1.4150
